Sample	posterior	ESS(posterior)	likelihood	prior
0	-6550.633336237764	N	-6524.072224166752	-26.561112071012033
1000	-4345.967057105645	2.0	-4330.8792900140825	-15.08776709156203
2000	-4348.943427329346	3.0	-4335.474891567566	-13.468535761780057
3000	-4344.31469899172	4.0	-4330.290644973982	-14.024054017738433
4000	-4345.680683763249	5.0	-4331.8364705610675	-13.844213202181574
5000	-4343.367796281363	6.0	-4329.643622681654	-13.724173599708607
6000	-4344.266421471939	7.0	-4329.380921639189	-14.885499832749268
7000	-4344.016197162896	8.0	-4330.712100570026	-13.304096592869247
8000	-4347.30530336341	9.0	-4333.605278032649	-13.70002533076013
9000	-4346.480442450141	7.0	-4332.9044724166015	-13.575970033539
10000	-4342.490760282677	10.0	-4328.737964469031	-13.752795813646003
11000	-4344.572737011297	11.0	-4330.620820958867	-13.951916052430374
12000	-4344.576626777336	12.0	-4331.007701032604	-13.568925744731754
13000	-4341.777957914332	13.0	-4328.718123644417	-13.059834269915324
14000	-4341.942337900328	10.7	-4329.065839399103	-12.876498501224862
15000	-4339.962064210746	7.6	-4327.101571824001	-12.860492386744026
16000	-4345.371156527275	9.0	-4332.462519971667	-12.908636555608915
17000	-4344.590992071141	9.7	-4332.299654892665	-12.291337178475814
18000	-4339.93613529528	6.9	-4327.7144545638275	-12.221680731452178
19000	-4339.395020686999	6.4	-4327.326716852441	-12.068303834558076
20000	-4340.811736834565	5.5	-4328.8236406756805	-11.988096158883911
21000	-4342.308141360923	5.2	-4330.405741026083	-11.90240033484053
22000	-4340.765689970322	4.8	-4328.872219484023	-11.893470486298337
23000	-4341.982651070119	4.7	-4329.904304084186	-12.078346985932722
24000	-4340.741252862551	4.6	-4328.703349429245	-12.037903433306537
25000	-4341.016104194133	4.5	-4328.546803781921	-12.4693004122114
26000	-4343.7817986329355	4.9	-4330.657684337143	-13.124114295792817
27000	-4343.596253116481	5.2	-4330.893903282979	-12.702349833502376
28000	-4343.103725827869	5.4	-4330.148308515084	-12.955417312785452
29000	-4343.141080998375	6.1	-4330.872405474021	-12.268675524354075
30000	-4340.915637725879	6.5	-4329.037524582509	-11.87811314336959
31000	-4341.330415098512	6.7	-4329.3047727256235	-12.025642372889035
32000	-4342.187242663303	6.9	-4329.585107477446	-12.602135185855996
