Sample	posterior	ESS(posterior)	likelihood	prior
0	-6459.135795700294	N	-6456.68637595999	-2.4494197403034734
1000	-5147.519124150841	2.0	-5147.306785733597	-0.2123384172432592
2000	-5146.982557927267	3.0	-5146.32418434853	-0.6583735787369871
3000	-5148.470385961073	4.0	-5148.026932089715	-0.443453871357786
4000	-5146.316357135727	5.0	-5146.78291110623	0.46655397050257363
5000	-5147.306501606411	6.0	-5148.258858115911	0.9523565094993103
6000	-5145.445072344955	7.0	-5146.321098188224	0.8760258432682377
7000	-5145.730625059066	8.0	-5147.198616599581	1.4679915405151287
8000	-5143.795031496684	9.0	-5144.640818969304	0.8457874726199837
9000	-5147.914123820499	5.5	-5148.309351544914	0.3952277244141813
10000	-5144.334651466624	5.5	-5145.4238130065005	1.0891615398771135
11000	-5144.127974291725	4.8	-5144.992581443343	0.8646071516173577
12000	-5143.396124934472	4.2	-5144.480907949397	1.084783014925459
13000	-5145.600579342749	4.5	-5146.845781430997	1.2452020882476242
14000	-5144.109331005325	4.1	-5144.983161542077	0.8738305367524273
15000	-5146.514915060632	4.9	-5147.9996641996	1.4847491389680334
16000	-5144.524455858715	5.0	-5145.5616010425465	1.0371451838320622
17000	-5144.684324526157	4.9	-5145.631146886046	0.9468223598884808
18000	-5145.001840846817	5.1	-5144.862294213079	-0.13954663373783394
19000	-5143.788136019479	6.3	-5145.006757873715	1.2186218542367988
20000	-5145.403688388266	6.7	-5146.171894018431	0.7682056301648545
21000	-5144.726993006281	7.1	-5144.054409664518	-0.6725833417635754
22000	-5144.74251188857	7.2	-5145.056674957588	0.3141630690180348
23000	-5146.6813202845315	8.4	-5146.249931799796	-0.4313884847348426
24000	-5143.706087031642	8.9	-5144.67389562839	0.9678085967482315
25000	-5143.980408760452	9.0	-5144.977621347485	0.9972125870338573
26000	-5143.853620917878	9.4	-5144.919645301783	1.0660243839045318
27000	-5145.890080263459	10.2	-5147.396697909811	1.506617646352332
28000	-5147.08869530286	11.7	-5147.030424430644	-0.05827087221606764
29000	-5145.334620656741	18.2	-5145.470859292128	0.13623863538662295
30000	-5144.744245764747	19.6	-5145.643596575676	0.8993508109295973
31000	-5149.182270737638	16.6	-5148.339852302238	-0.8424184354000308
32000	-5147.656151308199	14.5	-5148.517274668707	0.8611233605076474
33000	-5145.427103097598	15.2	-5146.535068616607	1.1079655190083795
34000	-5143.289390781916	21.1	-5144.387187198975	1.0977964170592518
35000	-5145.364367923793	21.9	-5146.015421463725	0.6510535399321236
36000	-5143.561130094547	23.5	-5144.581226013077	1.0200959185301421
37000	-5144.45472258043	23.0	-5144.937643464353	0.48292088392315335
38000	-5145.262318257572	23.6	-5145.951513274039	0.6891950164668428
39000	-5150.892298861014	34.0	-5150.661933189831	-0.23036567118330353
40000	-5143.29461731413	37.0	-5144.287333227204	0.9927159130737966
41000	-5145.239013939951	38.0	-5145.744351388085	0.5053374481337998
42000	-5145.301988673297	39.0	-5146.411566550772	1.1095778774744853
43000	-5146.982072319043	40.0	-5147.9212329262145	0.9391606071710303
44000	-5143.846365634868	41.0	-5144.8798281275895	1.0334624927218496
45000	-5144.027055428204	42.0	-5145.107334655984	1.0802792277797009
46000	-5144.544440341855	43.0	-5146.0149951040985	1.4705547622433488
47000	-5146.200645541588	44.0	-5146.542166728982	0.3415211873945214
48000	-5146.231232072245	45.0	-5145.786904740323	-0.4443273319221275
49000	-5143.457719663579	45.0	-5144.798206879502	1.3404872159222943
50000	-5146.5624497531435	46.0	-5146.3840085853135	-0.178441167830238
51000	-5144.775242231681	47.0	-5145.297626662988	0.5223844313071062
52000	-5144.081312493856	48.0	-5144.036807605968	-0.04450488788804474
53000	-5144.8673686822485	49.0	-5145.924978499889	1.0576098176402464
54000	-5144.264150948517	50.0	-5145.212880282346	0.9487293338291183
55000	-5145.179245059298	51.0	-5145.413974872937	0.23472981363865575
56000	-5147.633043645721	52.0	-5148.230815411165	0.5977717654443602
57000	-5146.053818349391	53.0	-5146.352129610883	0.2983112614922201
58000	-5143.591423333905	54.0	-5144.671881316576	1.0804579826712617
59000	-5143.539987365942	54.0	-5144.367794226353	0.8278068604116982
60000	-5145.261138179666	55.0	-5146.248755553031	0.9876173733643641
61000	-5143.622401194688	56.0	-5144.7919088290055	1.1695076343177746
62000	-5142.9822811633485	57.0	-5143.880384110261	0.8981029469121893
63000	-5144.60769670148	58.0	-5146.148988512208	1.5412918107282896
64000	-5145.101504776058	59.0	-5145.846463643589	0.744958867531067
65000	-5144.853050828457	60.0	-5145.801408259185	0.9483574307285254
66000	-5145.303047564986	61.0	-5146.776753119343	1.4737055543572097
67000	-5146.036514767505	62.0	-5147.042628768373	1.0061140008685614
68000	-5145.6141991495515	63.0	-5146.656654700814	1.0424555512630675
69000	-5144.01863609263	63.0	-5144.807247323599	0.7886112309687192
70000	-5144.955055537673	64.0	-5146.340811449149	1.3857559114768851
71000	-5144.137674666446	65.0	-5144.81626749868	0.6785928322332042
72000	-5148.0494377434825	66.0	-5149.077310893422	1.0278731499391345
73000	-5144.0625854067885	67.0	-5145.1541807558015	1.0915953490129406
74000	-5145.471540300679	68.0	-5146.429496208399	0.9579559077188771
75000	-5144.52804509799	69.0	-5145.963851679859	1.4358065818689454
76000	-5144.0823197099235	70.0	-5144.769009327403	0.6866896174796384
77000	-5146.5447991471	71.0	-5146.639456811993	0.0946576648926658
78000	-5144.451685320471	72.0	-5145.603831007847	1.152145687375063
79000	-5149.146510269007	72.0	-5148.35114642131	-0.7953638476970353
80000	-5145.438539398806	73.0	-5146.538593811885	1.1000544130790386
81000	-5146.861449009708	74.0	-5147.504037782587	0.6425887728795514
82000	-5145.735784076413	75.0	-5146.602947196968	0.8671631205541894
83000	-5145.330878795845	76.0	-5146.37168607633	1.0408072804849287
84000	-5151.12721301146	77.0	-5150.666560452185	-0.46065255927506943
85000	-5147.097913216385	66.4	-5148.286359559202	1.188446342816623
86000	-5143.830050285876	79.0	-5144.914439448271	1.0843891623954258
87000	-5145.590974209004	80.0	-5145.545679885511	-0.045294323493612954
88000	-5144.22568024729	81.0	-5144.840025356104	0.6143451088139935
89000	-5147.633129653521	81.0	-5148.638451291604	1.0053216380830587
90000	-5145.413451635686	82.0	-5145.638911279911	0.22545964422398002
91000	-5145.11422469288	83.0	-5146.1791912607205	1.0649665678404636
92000	-5148.302929076661	84.0	-5146.922574936075	-1.3803541405862356
93000	-5145.203438935839	85.0	-5146.432225447903	1.2287865120645232
94000	-5146.546888109207	86.0	-5147.36756083612	0.8206727269127154
95000	-5146.99104455764	87.0	-5148.277289816071	1.2862452584310442
96000	-5144.697378494723	88.0	-5145.497525626969	0.8001471322457219
97000	-5144.050247465573	89.0	-5145.146477035378	1.0962295698045637
98000	-5143.869349704803	90.0	-5144.829696443547	0.9603467387428593
