"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6327.28776731778,6.99125406157706,4.426265485755e-13,10.041042788714
"2","GTR","relaxed_log_normal","yule",-6324.6431552221,5.85386834874326,6.23128907636058e-12,18.4702003265451
"3","GTR","strict","birth_death",-6324.49887817496,5.14533186259175,7.19841075280247e-12,16.043480149669
"4","GTR","strict","yule",-6334.09491371459,6.62592957424598,4.89475931508474e-16,14.3240910563426
"5","HKY","relaxed_log_normal","birth_death",-6309.13226926542,4.54742301940982,0.0000339523687894446,9.22366111359291
"6","HKY","relaxed_log_normal","yule",-6307.92350965934,4.35727981146966,0.000113717605509312,10.6098850347699
"7","HKY","strict","birth_death",-6316.89907845532,5.22281732052324,0.0000000143809543064251,6.37319386929604
"8","HKY","strict","yule",-6322.03412942149,5.37984636148191,8.4657103937046e-11,6.99434619846934
"9","JC69","relaxed_log_normal","birth_death",-6310.71068509235,4.77467154248716,0.00000700442994044984,6.40990903107399
"10","JC69","relaxed_log_normal","yule",-6298.84336167173,3.10505323212011,0.998357011370176,7.58819807827948
"11","JC69","strict","birth_death",-6305.35966553659,3.69582767552475,0.00147669587382518,6.03756029472035
"12","TN93","relaxed_log_normal","birth_death",-6314.68003826851,4.68933359443491,0.000000132283176375961,11.1839977333582
"13","TN93","relaxed_log_normal","yule",-6310.21755469406,5.18719797088005,0.0000114692919176882,10.3810875601996
"14","TN93","strict","birth_death",-6318.73330221816,5.20168446902056,0.00000000229717693781689,8.00506720553626
"15","TN93","strict","yule",-6331.82139747983,6.27166143919261,4.75452238896072e-15,13.395368755116
