Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-8327.235719882368	-8348.664562964352	N	-8327.235719882368	-21.4288430819836
1	-8108.0564761170335	-8108.952736460534	2.0	-8108.0564761170335	-0.8962603435006258
2	-7900.19757846409	-7906.396415664605	3.0	-7900.19757846409	-6.198837200515519
3	-7295.117858705553	-7300.123172718423	4.0	-7295.117858705553	-5.005314012870613
4	-7150.735528800318	-7157.301159514379	3.1	-7150.735528800318	-6.5656307140611645
5	-7062.195803208519	-7070.176023198905	2.3	-7062.195803208519	-7.980219990385997
6	-6953.976614885317	-6964.814606743012	2.3	-6953.976614885317	-10.837991857694801
7	-6947.699924270883	-6957.200369652516	2.5	-6947.699924270883	-9.500445381634083
8	-6885.3100318928255	-6901.045863261924	2.7	-6885.3100318928255	-15.735831369098008
9	-6860.74062151802	-6874.278671184653	3.2	-6860.74062151802	-13.538049666633048
10	-6830.276172405769	-6845.516785453239	3.5	-6830.276172405769	-15.240613047470482
11	-6784.970804047568	-6796.1298265063815	3.6	-6784.970804047568	-11.159022458813492
12	-6773.497368127386	-6781.717552674537	3.6	-6773.497368127386	-8.220184547151332
13	-6767.637754020571	-6777.950857455812	3.7	-6767.637754020571	-10.313103435241088
14	-6765.832079258109	-6773.195334311229	3.8	-6765.832079258109	-7.3632550531199366
15	-6759.277503403344	-6767.851780572612	3.9	-6759.277503403344	-8.574277169268814
16	-6759.0992051338735	-6766.288840521122	4.1	-6759.0992051338735	-7.189635387248966
17	-6743.382162678181	-6749.839560139085	4.2	-6743.382162678181	-6.45739746090405
18	-6722.935627417865	-6729.573741832015	4.2	-6722.935627417865	-6.6381144141496415
19	-6712.294376891362	-6722.937498849211	4.4	-6712.294376891362	-10.643121957848997
20	-6706.557464764932	-6714.397723468118	4.4	-6706.557464764932	-7.840258703186283
21	-6699.923613126258	-6707.287479496702	4.5	-6699.923613126258	-7.363866370444139
22	-6696.671017716067	-6707.467469322587	4.6	-6696.671017716067	-10.796451606520417
23	-6690.163505536024	-6700.817162827462	4.7	-6690.163505536024	-10.653657291438291
24	-6686.31944197021	-6693.157611903235	4.7	-6686.31944197021	-6.838169933025134
25	-6681.668392748672	-6689.556101067544	4.8	-6681.668392748672	-7.887708318871365
26	-6681.5799992019165	-6688.433572381488	4.8	-6681.5799992019165	-6.853573179571608
27	-6675.039184217914	-6685.21001324943	4.9	-6675.039184217914	-10.170829031515684
28	-6673.336408897943	-6681.345980657196	4.9	-6673.336408897943	-8.009571759252612
29	-6668.551223389288	-6676.179520554835	3.7	-6668.551223389288	-7.628297165547089
30	-6666.006436178898	-6678.644554968434	3.7	-6666.006436178898	-12.638118789535405
31	-6664.883240825104	-6676.034047642211	3.7	-6664.883240825104	-11.150806817106574
32	-6657.637008441204	-6667.628139581584	3.7	-6657.637008441204	-9.991131140380622
33	-6656.828996865951	-6667.462382758169	3.8	-6656.828996865951	-10.63338589221809
34	-6656.168215642523	-6666.279540671426	3.8	-6656.168215642523	-10.111325028902275
35	-6656.088209651289	-6664.599378265113	3.9	-6656.088209651289	-8.511168613824388
36	-6654.423214040943	-6663.463695411544	3.9	-6654.423214040943	-9.040481370601324
37	-6653.72195358209	-6663.6191475548	3.9	-6653.72195358209	-9.897193972710673
38	-6653.663322421837	-6665.22969720125	3.9	-6653.663322421837	-11.566374779413342
