Sample	posterior	ESS(posterior)	likelihood	prior	
0	-8135.582085680324	10.6	-8122.644369166461	-12.937716513862942	
1	-8136.433080265701	10.9	-8121.9474380471465	-14.485642218555126	
2	-8132.251414053114	11.2	-8121.246517629388	-11.00489642372601	
3	-8129.374995951449	11.5	-8118.674987293973	-10.700008657475944	
4	-8128.875525734166	11.7	-8118.352311994628	-10.523213739538782	
5	-8128.943836669806	12.0	-8117.700941001457	-11.242895668348465	
6	-8128.943836669806	12.0	-8117.700941001457	-11.242895668348465	
7	-8128.943836669806	12.0	-8117.700941001457	-11.242895668348465	
8	-8130.58352056599	12.3	-8117.56763863486	-13.015881931130066	
9	-8130.58352056599	12.3	-8117.56763863486	-13.015881931130066	
