Sample	posterior	ESS(posterior)	likelihood	prior
0	-9833.11954279923	N	-9829.302105025083	-3.817437774147018
1000	-7142.276423774613	2.0	-7138.06446422698	-4.211959547633121
2000	-7141.561310656729	3.0	-7137.696736105911	-3.864574550817496
3000	-7140.301401483519	4.0	-7135.943053623702	-4.358347859816462
4000	-7141.648730493816	5.0	-7137.323506590137	-4.32522390367958
5000	-7140.996393058063	6.0	-7137.147464033022	-3.848929025041551
6000	-7144.549284218802	7.0	-7140.637891589408	-3.9113926293941397
7000	-7142.2958343739365	8.0	-7137.962178917186	-4.333655456749989
8000	-7141.008135859908	9.0	-7136.800290337379	-4.2078455225291505
9000	-7142.963175108443	9.0	-7137.792692286842	-5.170482821600981
10000	-7142.583777634162	10.0	-7138.565926451149	-4.017851183013825
11000	-7146.8294794939075	8.9	-7140.045352113589	-6.784127380318937
12000	-7145.311029472866	6.3	-7141.1150683082	-4.195961164666209
13000	-7143.1678476023535	6.3	-7139.573152723662	-3.5946948786916586
14000	-7140.990085916979	8.1	-7136.96881798568	-4.021267931299354
15000	-7142.5863729510165	8.7	-7138.189135255774	-4.397237695242798
16000	-7141.172172633981	8.8	-7137.283996023844	-3.8881766101367496
17000	-7142.722002638693	9.4	-7138.334951059992	-4.387051578701581
18000	-7141.305002953507	9.8	-7137.2743746014785	-4.030628352028684
19000	-7142.503248702995	9.9	-7138.382889123036	-4.120359579959155
20000	-7144.980264723623	12.0	-7138.424759479084	-6.555505244538786
21000	-7141.614172073662	13.5	-7136.305758383213	-5.308413690448888
22000	-7141.844551942218	14.6	-7137.423012093003	-4.421539849213868
23000	-7144.625508199143	17.3	-7140.257674198248	-4.367834000894282
24000	-7143.232558587555	17.8	-7138.424019704725	-4.80853888283049
25000	-7142.541582064012	18.7	-7138.185315869854	-4.356266194157886
26000	-7141.049467858281	20.0	-7136.609050211756	-4.44041764652534
27000	-7141.494702773981	19.8	-7136.71834130628	-4.776361467700858
28000	-7141.756436987694	19.6	-7137.504777419533	-4.251659568161237
29000	-7142.291056044655	20.9	-7137.376864494011	-4.914191550644591
30000	-7141.923855927889	21.3	-7137.739585789775	-4.184270138113451
31000	-7139.964367840519	21.3	-7136.108495538964	-3.8558723015545184
32000	-7142.1511033563465	21.6	-7137.893573950635	-4.257529405711352
33000	-7143.297530062565	23.7	-7139.086684773777	-4.210845288787853
34000	-7142.637233935351	24.4	-7138.072985213626	-4.564248721724403
35000	-7140.662239539496	26.4	-7137.016177720509	-3.646061818986818
36000	-7141.778484035391	26.6	-7137.500672433588	-4.277811601802689
37000	-7143.91710320718	30.1	-7139.997459810056	-3.9196433971235627
38000	-7142.073528412932	31.1	-7138.182903566783	-3.890624846148763
39000	-7140.697603420662	36.0	-7136.983618443161	-3.7139849775016587
40000	-7141.25415197434	34.7	-7137.003081218871	-4.251070755469699
41000	-7144.027727951076	38.0	-7139.158766117136	-4.8689618339399185
42000	-7142.563842480531	39.0	-7136.554796989848	-6.009045490683297
43000	-7142.703298184491	40.0	-7138.622160857797	-4.081137326694321
44000	-7141.8343312980705	41.0	-7137.5073566519795	-4.326974646090956
45000	-7141.495034087064	42.0	-7137.277532281313	-4.217501805750938
46000	-7141.971338212435	43.0	-7138.168471827977	-3.8028663844580266
47000	-7144.084957422569	44.0	-7138.158986368864	-5.925971053704325
48000	-7139.667732104481	45.0	-7135.88082761435	-3.7869044901308584
49000	-7141.180210553992	45.0	-7137.166140483067	-4.0140700709253645
50000	-7141.180175515636	46.0	-7137.141540191509	-4.038635324126962
51000	-7141.4006708100615	42.6	-7137.10686579062	-4.293805019441865
52000	-7143.356677097128	48.0	-7139.865981026885	-3.4906960702436374
53000	-7141.254744831517	49.0	-7137.559650374206	-3.695094457310683
54000	-7142.483615005011	50.0	-7138.026056792535	-4.457558212476056
55000	-7143.17615574976	51.0	-7138.745135170429	-4.431020579330809
56000	-7141.001320367578	52.0	-7137.318831476077	-3.6824888915009786
57000	-7142.125952666422	53.0	-7136.941176206364	-5.184776460058064
58000	-7140.4361980156355	54.0	-7136.380724312388	-4.055473703247492
59000	-7141.6399207971035	49.9	-7137.692359375089	-3.9475614220146293
60000	-7140.5448980259125	40.5	-7136.657971132988	-3.886926892924845
61000	-7140.2368342141435	36.7	-7135.973153687097	-4.2636805270469145
62000	-7144.285845380865	21.9	-7138.3751350274	-5.910710353464898
63000	-7139.747703628986	20.5	-7135.883939994723	-3.863763634262778
64000	-7142.016277117814	20.7	-7138.218850880663	-3.7974262371506944
65000	-7142.932856282914	44.5	-7139.04258822689	-3.8902680560240563
66000	-7141.09790126466	21.6	-7137.373486497588	-3.7244147670727603
67000	-7144.428449003527	48.0	-7140.074784051998	-4.35366495152946
68000	-7141.58191892118	49.4	-7137.571252348479	-4.010666572701201
69000	-7141.712444244543	60.0	-7136.785648796228	-4.9267954483149765
70000	-7141.96787855042	60.7	-7137.877367307198	-4.090511243221848
71000	-7140.227582541462	60.4	-7136.59983575747	-3.627746783991895
72000	-7140.990949993321	59.2	-7136.783279345923	-4.207670647398235
73000	-7141.667003017317	58.9	-7136.211756929309	-5.455246088009
74000	-7142.271848415278	60.0	-7138.402768924618	-3.8690794906604107
75000	-7141.39408342341	60.7	-7136.834325802083	-4.559757621327035
76000	-7141.951532748444	61.5	-7137.651592611244	-4.299940137200272
77000	-7142.48304929861	62.7	-7137.25094332976	-5.232105968850526
78000	-7141.612313315104	63.6	-7137.699081570913	-3.913231744190517
79000	-7141.213687889395	63.5	-7136.737962768761	-4.475725120634445
80000	-7141.992819607906	64.3	-7138.022669283719	-3.97015032418801
81000	-7143.975146182101	67.1	-7139.479421668681	-4.495724513419373
82000	-7143.037441828481	66.6	-7137.572851253031	-5.464590575449297
83000	-7143.717747007755	63.8	-7138.42222367757	-5.295523330184149
84000	-7143.621990797489	62.0	-7138.942549607018	-4.679441190471005
85000	-7140.640961937137	66.7	-7136.716967107155	-3.9239948299820577
86000	-7141.1182565524105	67.6	-7137.116108854799	-4.002147697611309
87000	-7144.053789140255	73.1	-7139.959962910554	-4.0938262297004195
88000	-7141.975635058829	74.1	-7137.550461644179	-4.425173414649017
89000	-7143.828750012686	34.6	-7138.871160370212	-4.957589642473869
90000	-7141.853680971782	35.5	-7137.6579977144975	-4.195683257284122
91000	-7140.458604185229	74.8	-7136.7507477432055	-3.7078564420239606
