#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment" name="distribution" x="@birthRate.t:twin_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment" id="treeLikelihood.twin_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment">
#            <siteModel id="SiteModel.s:twin_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-9833.11954279923	-9829.302105025083	-3.817437774147018	-9829.302105025083	1.627940211982228	-3.817437774147018	1.0
1000	-7142.276423774613	-7138.06446422698	-4.211959547633121	-7138.06446422698	1.1227647435699408	-4.211959547633121	1.4525904538196832
2000	-7141.561310656729	-7137.696736105911	-3.864574550817496	-7137.696736105911	1.0729602990024525	-3.864574550817496	1.1236844695388288
3000	-7140.301401483519	-7135.943053623702	-4.358347859816462	-7135.943053623702	1.040065814940107	-4.358347859816462	1.9050625875803595
4000	-7141.648730493816	-7137.323506590137	-4.32522390367958	-7137.323506590137	1.16719989575261	-4.32522390367958	1.4038854439324857
5000	-7140.996393058063	-7137.147464033022	-3.848929025041551	-7137.147464033022	1.0022924839304823	-3.848929025041551	0.9839309966626725
6000	-7144.549284218802	-7140.637891589408	-3.9113926293941397	-7140.637891589408	1.0665755139721138	-3.9113926293941397	1.0439758671609902
7000	-7142.2958343739365	-7137.962178917186	-4.333655456749989	-7137.962178917186	1.1706630188514013	-4.333655456749989	1.448388249945745
8000	-7141.008135859908	-7136.800290337379	-4.2078455225291505	-7136.800290337379	1.1414980363099216	-4.2078455225291505	1.1934953858762987
9000	-7142.963175108443	-7137.792692286842	-5.170482821600981	-7137.792692286842	1.1505008873005669	-5.170482821600981	0.588618122201463
10000	-7142.583777634162	-7138.565926451149	-4.017851183013825	-7138.565926451149	1.0707746047337205	-4.017851183013825	1.4156942310504663
11000	-7146.8294794939075	-7140.045352113589	-6.784127380318937	-7140.045352113589	0.9779260046058301	-6.784127380318937	3.3686160359830897
12000	-7145.311029472866	-7141.1150683082	-4.195961164666209	-7141.1150683082	1.1504648878345645	-4.195961164666209	0.9282881901421385
13000	-7143.1678476023535	-7139.573152723662	-3.5946948786916586	-7139.573152723662	1.023516143191942	-3.5946948786916586	1.2074277746919746
14000	-7140.990085916979	-7136.96881798568	-4.021267931299354	-7136.96881798568	0.9718543324901908	-4.021267931299354	1.9266313915813589
15000	-7142.5863729510165	-7138.189135255774	-4.397237695242798	-7138.189135255774	1.0923596727594518	-4.397237695242798	1.858951541681183
16000	-7141.172172633981	-7137.283996023844	-3.8881766101367496	-7137.283996023844	1.0482522106450456	-3.8881766101367496	1.5690266273320808
17000	-7142.722002638693	-7138.334951059992	-4.387051578701581	-7138.334951059992	1.1667171615376297	-4.387051578701581	0.8938995924961007
18000	-7141.305002953507	-7137.2743746014785	-4.030628352028684	-7137.2743746014785	1.0153204931053799	-4.030628352028684	0.9248045970114434
19000	-7142.503248702995	-7138.382889123036	-4.120359579959155	-7138.382889123036	1.036235828596615	-4.120359579959155	1.7754200498194126
20000	-7144.980264723623	-7138.424759479084	-6.555505244538786	-7138.424759479084	1.0160500472361504	-6.555505244538786	3.18494602939067
21000	-7141.614172073662	-7136.305758383213	-5.308413690448888	-7136.305758383213	1.129858124551875	-5.308413690448888	2.2196984980875896
22000	-7141.844551942218	-7137.423012093003	-4.421539849213868	-7137.423012093003	1.0941510534185777	-4.421539849213868	0.7593305662743535
23000	-7144.625508199143	-7140.257674198248	-4.367834000894282	-7140.257674198248	1.0737537490215958	-4.367834000894282	1.998507142619191
24000	-7143.232558587555	-7138.424019704725	-4.80853888283049	-7138.424019704725	1.168922829446583	-4.80853888283049	1.8206613321202667
25000	-7142.541582064012	-7138.185315869854	-4.356266194157886	-7138.185315869854	1.1668825050005964	-4.356266194157886	1.3604133879320823
26000	-7141.049467858281	-7136.609050211756	-4.44041764652534	-7136.609050211756	1.1870387911451803	-4.44041764652534	0.8361521729379073
27000	-7141.494702773981	-7136.71834130628	-4.776361467700858	-7136.71834130628	1.1105427283328277	-4.776361467700858	0.6818761797272873
28000	-7141.756436987694	-7137.504777419533	-4.251659568161237	-7137.504777419533	1.104400239678116	-4.251659568161237	0.8648282357930115
29000	-7142.291056044655	-7137.376864494011	-4.914191550644591	-7137.376864494011	1.1291680293216007	-4.914191550644591	0.6295880668240469
30000	-7141.923855927889	-7137.739585789775	-4.184270138113451	-7137.739585789775	0.9768695257215172	-4.184270138113451	2.0914776914479942
31000	-7139.964367840519	-7136.108495538964	-3.8558723015545184	-7136.108495538964	1.0234388406932964	-3.8558723015545184	1.3537015932963146
32000	-7142.1511033563465	-7137.893573950635	-4.257529405711352	-7137.893573950635	1.1233015839273923	-4.257529405711352	0.8472702044510828
33000	-7143.297530062565	-7139.086684773777	-4.210845288787853	-7139.086684773777	0.9296701533393805	-4.210845288787853	2.3418037592482235
34000	-7142.637233935351	-7138.072985213626	-4.564248721724403	-7138.072985213626	1.0969769142774797	-4.564248721724403	0.7097211352263179
35000	-7140.662239539496	-7137.016177720509	-3.646061818986818	-7137.016177720509	0.993070581738849	-3.646061818986818	1.5158370398339756
36000	-7141.778484035391	-7137.500672433588	-4.277811601802689	-7137.500672433588	1.1401540096604215	-4.277811601802689	0.9897946188580828
37000	-7143.91710320718	-7139.997459810056	-3.9196433971235627	-7139.997459810056	1.035250689878459	-3.9196433971235627	0.9028709108069394
38000	-7142.073528412932	-7138.182903566783	-3.890624846148763	-7138.182903566783	1.0434385825667347	-3.890624846148763	1.382670857912253
39000	-7140.697603420662	-7136.983618443161	-3.7139849775016587	-7136.983618443161	1.0160977396241666	-3.7139849775016587	1.2840429284258388
40000	-7141.25415197434	-7137.003081218871	-4.251070755469699	-7137.003081218871	1.0401962481243234	-4.251070755469699	1.9156027268481162
41000	-7144.027727951076	-7139.158766117136	-4.8689618339399185	-7139.158766117136	1.1009287317610748	-4.8689618339399185	2.2595422453781535
42000	-7142.563842480531	-7136.554796989848	-6.009045490683297	-7136.554796989848	1.0611490919527806	-6.009045490683297	2.7718367762729708
43000	-7142.703298184491	-7138.622160857797	-4.081137326694321	-7138.622160857797	1.0541680987041597	-4.081137326694321	1.6014279131256222
44000	-7141.8343312980705	-7137.5073566519795	-4.326974646090956	-7137.5073566519795	1.142084178233259	-4.326974646090956	0.9131268281064934
45000	-7141.495034087064	-7137.277532281313	-4.217501805750938	-7137.277532281313	1.0913008948549627	-4.217501805750938	0.9164989716308725
46000	-7141.971338212435	-7138.168471827977	-3.8028663844580266	-7138.168471827977	1.044774418122521	-3.8028663844580266	1.3772628180242479
47000	-7144.084957422569	-7138.158986368864	-5.925971053704325	-7138.158986368864	1.0195975542057412	-5.925971053704325	2.9827262782798813
48000	-7139.667732104481	-7135.88082761435	-3.7869044901308584	-7135.88082761435	1.0211272203650796	-3.7869044901308584	1.1782271646016558
49000	-7141.180210553992	-7137.166140483067	-4.0140700709253645	-7137.166140483067	1.1248808910893555	-4.0140700709253645	1.1371909256468014
50000	-7141.180175515636	-7137.141540191509	-4.038635324126962	-7137.141540191509	1.0156515948499272	-4.038635324126962	0.8871480445949663
51000	-7141.4006708100615	-7137.10686579062	-4.293805019441865	-7137.10686579062	1.1047388934465	-4.293805019441865	1.6416952283037984
52000	-7143.356677097128	-7139.865981026885	-3.4906960702436374	-7139.865981026885	0.9423914142450722	-3.4906960702436374	1.1935651675824221
53000	-7141.254744831517	-7137.559650374206	-3.695094457310683	-7137.559650374206	0.9862156404341379	-3.695094457310683	1.091250423743292
54000	-7142.483615005011	-7138.026056792535	-4.457558212476056	-7138.026056792535	1.1227632388729185	-4.457558212476056	0.8068656222487007
55000	-7143.17615574976	-7138.745135170429	-4.431020579330809	-7138.745135170429	1.1096868467998133	-4.431020579330809	1.6773579130015377
56000	-7141.001320367578	-7137.318831476077	-3.6824888915009786	-7137.318831476077	1.019766215472943	-3.6824888915009786	1.2058899090324333
57000	-7142.125952666422	-7136.941176206364	-5.184776460058064	-7136.941176206364	1.013499537906751	-5.184776460058064	2.584050392217977
58000	-7140.4361980156355	-7136.380724312388	-4.055473703247492	-7136.380724312388	1.1249003875663102	-4.055473703247492	1.2481104131313234
59000	-7141.6399207971035	-7137.692359375089	-3.9475614220146293	-7137.692359375089	1.0634323607339575	-3.9475614220146293	1.6140388150124154
60000	-7140.5448980259125	-7136.657971132988	-3.886926892924845	-7136.657971132988	1.0714052945192405	-3.886926892924845	1.0908615994413713
61000	-7140.2368342141435	-7135.973153687097	-4.2636805270469145	-7135.973153687097	1.0781771810299086	-4.2636805270469145	0.866327727370185
62000	-7144.285845380865	-7138.3751350274	-5.910710353464898	-7138.3751350274	1.1345088780903756	-5.910710353464898	2.4622300160427586
63000	-7139.747703628986	-7135.883939994723	-3.863763634262778	-7135.883939994723	1.0543004753238625	-3.863763634262778	1.2880858732855966
64000	-7142.016277117814	-7138.218850880663	-3.7974262371506944	-7138.218850880663	1.0619711259111537	-3.7974262371506944	1.4079047484034541
